iter	Passed	Remaining
0	1	158
1	2	125
2	3	117
3	4	108
4	5	105
5	6	102
6	7	100
7	8	98
8	9	96
9	10	96
10	11	94
11	12	92
12	13	90
13	14	89
14	15	88
15	16	87
16	17	87
17	19	87
18	20	86
19	21	85
20	22	84
21	23	82
22	24	81
23	25	80
24	26	79
25	27	79
26	28	78
27	30	77
28	31	76
29	32	76
30	33	74
31	34	73
32	35	73
33	37	72
34	38	71
35	39	70
36	40	69
37	41	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	61
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	59	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	90	17
84	91	16
85	92	15
86	93	14
87	94	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
